District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Baltimore County,Northwest Academy of Health Sciences,Algebra 1,5,6.2,13.1,,6.9
Baltimore County,Northwest Academy of Health Sciences,English Language Arts 6,25.3,34.9,22.6,9.6,-12.3
Baltimore County,Northwest Academy of Health Sciences,English Language Arts 8,22.6,23.4,23.9,0.8,0.5
Baltimore County,Northwest Academy of Health Sciences,English Language Arts 7,17.3,24.9,34.3,7.6,9.4
Baltimore County,Northwest Academy of Health Sciences,Mathematics 6,6.2,9,5,2.8,
Baltimore County,Northwest Academy of Health Sciences,Geometry,5,9.1,5,,
Baltimore County,Northwest Academy of Health Sciences,Mathematics 7,5,5,5,,
Baltimore County,Northwest Academy of Health Sciences,Mathematics 8,5,5,5,,
Baltimore County,Northwest EDLP at Milford Mill Academy,English Language Arts 6,,,*,,
Baltimore County,Northwest EDLP at Milford Mill Academy,English Language Arts 8,,,*,,
Baltimore County,Northwest EDLP at Milford Mill Academy,Mathematics 8,,,*,,
Montgomery,Northwest High,English Language Arts 10,57.6,58.7,64.3,1.1,5.6
Montgomery,Northwest High,Algebra 1,5,10.1,5,,
Montgomery,Northwest High,Algebra 2,*,,,,
Carroll,Northwest Middle,Mathematics 8,11.5,13.8,9.1,2.3,-4.7
Carroll,Northwest Middle,Mathematics 7,15.4,13.2,15.1,-2.2,1.9
Carroll,Northwest Middle,Mathematics 6,14.6,17.4,19.6,2.8,2.2
Carroll,Northwest Middle,Algebra 1,58.8,35.1,55.6,-23.7,20.5
Carroll,Northwest Middle,English Language Arts 6,41.2,49.6,56.9,8.4,7.3
Carroll,Northwest Middle,English Language Arts 8,38.6,48.4,61.4,9.8,13
Carroll,Northwest Middle,English Language Arts 7,46.9,55.7,68.4,8.8,12.7
Carroll,Northwest Middle,Geometry,,*,,,
Wicomico,Northwestern Elementary,Mathematics 5,18.4,37,31.9,18.6,-5.1
Wicomico,Northwestern Elementary,Mathematics 3,30.4,57.1,44.6,26.7,-12.5
Wicomico,Northwestern Elementary,English Language Arts 5,34.7,46.3,46.8,11.6,0.5
Wicomico,Northwestern Elementary,Mathematics 4,53.2,38.3,48.9,-14.9,10.6
Wicomico,Northwestern Elementary,English Language Arts 3,30.4,55.1,50,24.7,-5.1
Wicomico,Northwestern Elementary,English Language Arts 4,59.6,57.4,77.8,-2.2,20.4
Prince George's,Northwestern High,Geometry,*,5,15.4,,
Prince George's,Northwestern High,English Language Arts 10,24.8,41.1,33.6,16.3,-7.5
Prince George's,Northwestern High,Algebra 1,5,5,5,,
Prince George's,Northwestern High,Algebra 2,*,5,,,
Baltimore City,Northwood Elementary,Mathematics 5,9.5,7,14.1,-2.5,7.1
Baltimore City,Northwood Elementary,Mathematics 4,5,13.5,18,,4.5
Baltimore City,Northwood Elementary,English Language Arts 5,24.7,17,25,-7.7,8
Baltimore City,Northwood Elementary,English Language Arts 4,19.6,25.3,29.9,5.7,4.6
Baltimore City,Northwood Elementary,Mathematics 3,15.6,16.3,33.8,0.7,17.5
Baltimore City,Northwood Elementary,English Language Arts 3,31.1,33.7,42.7,2.6,9
Montgomery,Northwood High,English Language Arts 10,,41.5,47.5,,6
Montgomery,Northwood High,Algebra 1,,5,5,,
Montgomery,Northwood High School,English Language Arts 10,40.7,,,,
Montgomery,Northwood High School,Algebra 1,5,,,,
Baltimore County,Norwood Elementary,Mathematics 3,18.3,20.8,23.7,2.5,2.9
Baltimore County,Norwood Elementary,English Language Arts 3,25.2,25.2,25.9,0,0.7
Anne Arundel,Oak Hill Elementary,Mathematics 5,38.3,43.3,49.1,5,5.8
Anne Arundel,Oak Hill Elementary,Mathematics 4,60,64.3,61,4.3,-3.3
Anne Arundel,Oak Hill Elementary,Mathematics 3,67.3,66.9,67.6,-0.4,0.7
Anne Arundel,Oak Hill Elementary,English Language Arts 5,62.5,73.2,69,10.7,-4.2
Anne Arundel,Oak Hill Elementary,English Language Arts 3,75.7,78.6,74.3,2.9,-4.3
Anne Arundel,Oak Hill Elementary,English Language Arts 4,76.6,70.5,74.8,-6.1,4.3
Montgomery,Oak View Elementary,Mathematics 3,19.5,31.1,24.8,11.6,-6.3
Montgomery,Oak View Elementary,English Language Arts 3,31.4,34.4,33,3,-1.4
Montgomery,Oak View Elementary,Mathematics 5,41.1,37.8,37.6,-3.3,-0.2
Montgomery,Oak View Elementary,Mathematics 4,36.9,39.9,39.5,3,-0.4
Montgomery,Oak View Elementary,English Language Arts 5,48.9,46.3,45.1,-2.6,-1.2
Montgomery,Oak View Elementary,English Language Arts 4,52.1,54.7,51.7,2.6,-3
Frederick,Oakdale Elementary,Mathematics 5,50.3,52.6,48.3,2.3,-4.3
Frederick,Oakdale Elementary,Mathematics 4,48.4,64.5,60.6,16.1,-3.9
Frederick,Oakdale Elementary,Mathematics 3,51.8,72.9,60.6,21.1,-12.3
Frederick,Oakdale Elementary,English Language Arts 5,65.4,57.1,60.9,-8.3,3.8
Frederick,Oakdale Elementary,English Language Arts 3,58.3,78.2,64.6,19.9,-13.6
Frederick,Oakdale Elementary,English Language Arts 4,70.9,79.5,74.9,8.6,-4.6
Frederick,Oakdale High,Geometry,*,21.7,16.1,,-5.6
Frederick,Oakdale High,Algebra 1,29.6,26.3,24.9,-3.3,-1.4
Frederick,Oakdale High,Algebra 2,,26.6,59.1,,32.5
Frederick,Oakdale High,English Language Arts 10,79.8,82.9,77.4,3.1,-5.5
Frederick,Oakdale Middle,Mathematics 8,26,27.8,25.6,1.8,-2.2
Frederick,Oakdale Middle,Mathematics 6,37.5,42.5,44.1,5,1.6
Frederick,Oakdale Middle,Mathematics 7,37.8,46.4,51.1,8.6,4.7
Frederick,Oakdale Middle,English Language Arts 6,69.3,71.3,61.5,2,-9.8
Frederick,Oakdale Middle,English Language Arts 7,60.4,73.3,69.4,12.9,-3.9
Frederick,Oakdale Middle,English Language Arts 8,65.1,69.5,74.4,4.4,4.9
Frederick,Oakdale Middle,Algebra 1,56.4,76.8,82.9,20.4,6.1
Frederick,Oakdale Middle,Geometry,39.6,30.8,*,-8.8,
Howard,Oakland Mills High,Algebra 2,12.7,8.7,8,-4,-0.7
Howard,Oakland Mills High,English Language Arts 10,44.8,53.8,52,9,-1.8
Howard,Oakland Mills High,Algebra 1,5,5,5,,
Howard,Oakland Mills Middle,Mathematics 7,8.8,9.3,10.7,0.5,1.4
Howard,Oakland Mills Middle,Mathematics 6,16.9,24,16.4,7.1,-7.6
Howard,Oakland Mills Middle,Algebra 1,30.9,39.3,28.8,8.4,-10.5
Howard,Oakland Mills Middle,English Language Arts 8,43.9,40.9,41.2,-3,0.3
Howard,Oakland Mills Middle,English Language Arts 7,37.8,45.1,42.1,7.3,-3
Howard,Oakland Mills Middle,English Language Arts 6,37.4,39.6,44.1,2.2,4.5
Howard,Oakland Mills Middle,Mathematics 8,5,7.5,5,,
Howard,Oakland Mills Middle,Geometry,40,40,5,0,
Howard,Oakland Mills Middle,Algebra 2,*,*,,,
Montgomery,Oakland Terrace Elementary,Mathematics 5,33.3,34.7,33.9,1.4,-0.8
Montgomery,Oakland Terrace Elementary,English Language Arts 5,45.6,56,36.7,10.4,-19.3
Montgomery,Oakland Terrace Elementary,Mathematics 4,37.3,37.5,52.9,0.2,15.4
Montgomery,Oakland Terrace Elementary,English Language Arts 4,68.1,46.8,60.9,-21.3,14.1
Montgomery,Oakland Terrace Elementary,English Language Arts 3,59.7,64.1,61.9,4.4,-2.2
Montgomery,Oakland Terrace Elementary,Mathematics 3,53.2,59,65.1,5.8,6.1
Prince George's,Oaklands Elementary,Mathematics 3,7.3,26.4,5.7,19.1,-20.7
Prince George's,Oaklands Elementary,Mathematics 4,5.3,5,13.1,,
Prince George's,Oaklands Elementary,English Language Arts 5,23.7,28.6,15.9,4.9,-12.7
Prince George's,Oaklands Elementary,English Language Arts 3,16.7,32.7,21.3,16,-11.4
Prince George's,Oaklands Elementary,English Language Arts 4,14.5,21.7,36.2,7.2,14.5
Prince George's,Oaklands Elementary,Mathematics 5,6.7,13.8,5,7.1,
Baltimore County,Oakleigh Elementary,Mathematics 4,10.3,19.5,16.9,9.2,-2.6
Baltimore County,Oakleigh Elementary,Mathematics 5,5.1,7.5,22.5,2.4,15
Baltimore County,Oakleigh Elementary,Mathematics 3,18.3,24.1,23.6,5.8,-0.5
Baltimore County,Oakleigh Elementary,English Language Arts 3,17.1,29.9,25,12.8,-4.9
Baltimore County,Oakleigh Elementary,English Language Arts 4,36.4,32.9,34.8,-3.5,1.9
Baltimore County,Oakleigh Elementary,English Language Arts 5,15.4,13.8,37,-1.6,23.2
Saint Mary's,Oakville Elementary,Mathematics 3,48.1,60,42,11.9,-18
Saint Mary's,Oakville Elementary,English Language Arts 3,57.7,60,44,2.3,-16
Saint Mary's,Oakville Elementary,Mathematics 4,71.9,61.1,46.7,-10.8,-14.4
Saint Mary's,Oakville Elementary,English Language Arts 5,51.2,50,51.7,-1.2,1.7
Saint Mary's,Oakville Elementary,Mathematics 5,36.6,50,53.4,13.4,3.4
Saint Mary's,Oakville Elementary,English Language Arts 4,71.9,64.8,57.8,-7.1,-7
Anne Arundel,Oakwood Elementary,Mathematics 3,35.9,19.1,17.2,-16.8,-1.9
Anne Arundel,Oakwood Elementary,Mathematics 5,5,16.7,17.4,,0.7
Anne Arundel,Oakwood Elementary,English Language Arts 3,43.6,33.3,34.9,-10.3,1.6
Anne Arundel,Oakwood Elementary,Mathematics 4,17.5,9.5,35.3,-8,25.8
Anne Arundel,Oakwood Elementary,English Language Arts 4,50,31,43.1,-19,12.1
Anne Arundel,Oakwood Elementary,English Language Arts 5,28.6,31,44.4,2.4,13.4
Worcester,Ocean City Elementary,Mathematics 3,84.5,83.3,73.2,-1.2,-10.1
Worcester,Ocean City Elementary,Mathematics 4,67,78.2,75,11.2,-3.2
Worcester,Ocean City Elementary,English Language Arts 3,94,91,88.5,-3,-2.5
Worcester,Ocean City Elementary,English Language Arts 4,87.6,91.6,90.9,4,-0.7
Anne Arundel,Odenton Elementary,Mathematics 4,24.2,32.2,28.6,8,-3.6
Anne Arundel,Odenton Elementary,Mathematics 3,32.9,37.6,30.9,4.7,-6.7
Anne Arundel,Odenton Elementary,Mathematics 5,17.3,22,31.5,4.7,9.5
Anne Arundel,Odenton Elementary,English Language Arts 3,37,50.5,43.8,13.5,-6.7
Anne Arundel,Odenton Elementary,English Language Arts 5,37,34.3,46.1,-2.7,11.8
Anne Arundel,Odenton Elementary,English Language Arts 4,42.9,49.4,58.4,6.5,9
Montgomery,Odessa Shannon Middle,Mathematics 7,5,5,7,,
Montgomery,Odessa Shannon Middle,Mathematics 6,7.4,9.7,8.7,2.3,-1
Montgomery,Odessa Shannon Middle,Algebra 1,8.3,19.1,22.7,10.8,3.6
Montgomery,Odessa Shannon Middle,English Language Arts 6,28.7,29.4,29.7,0.7,0.3
Montgomery,Odessa Shannon Middle,English Language Arts 8,29.6,24.2,31.4,-5.4,7.2
Montgomery,Odessa Shannon Middle,English Language Arts 7,21.5,29.6,34.1,8.1,4.5
Montgomery,Odessa Shannon Middle,Geometry,13.7,15,38.7,1.3,23.7
Montgomery,Odessa Shannon Middle,Mathematics 8,5,5,5,,
Carroll,Oklahoma Road Middle,Mathematics 8,14.8,28,31.4,13.2,3.4
Carroll,Oklahoma Road Middle,Mathematics 6,27.3,30.3,36.3,3,6
Carroll,Oklahoma Road Middle,Mathematics 7,30.5,38.6,45.2,8.1,6.6
Carroll,Oklahoma Road Middle,Algebra 1,40.2,47.6,61.4,7.4,13.8
Carroll,Oklahoma Road Middle,English Language Arts 6,75,79.7,70.2,4.7,-9.5
Carroll,Oklahoma Road Middle,English Language Arts 8,51.9,79.7,76.3,27.8,-3.4
Carroll,Oklahoma Road Middle,English Language Arts 7,75.5,79.5,80.6,4,1.1
Carroll,Oklahoma Road Middle,Geometry,,*,*,,
Washington,Old Forge Elementary,English Language Arts 3,55.8,41.7,38,-14.1,-3.7
Washington,Old Forge Elementary,Mathematics 4,27.8,25.5,42.3,-2.3,16.8
Washington,Old Forge Elementary,Mathematics 5,43.9,22.4,46.7,-21.5,24.3
Washington,Old Forge Elementary,Mathematics 3,53.8,50,52.9,-3.8,2.9
Washington,Old Forge Elementary,English Language Arts 4,47.2,43.6,55.8,-3.6,12.2
Washington,Old Forge Elementary,English Language Arts 5,61.4,21.4,64.4,-40,43
Anne Arundel,Old Mill High,Algebra 1,5,5,6.7,,
Anne Arundel,Old Mill High,English Language Arts 10,57.7,46.7,56.8,-11,10.1
Anne Arundel,Old Mill Middle North,Mathematics 6,10.9,6.4,7.7,-4.5,1.3
Anne Arundel,Old Mill Middle North,Mathematics 7,12.5,13.8,13.1,1.3,-0.7
Anne Arundel,Old Mill Middle North,English Language Arts 7,35.3,37.8,29.9,2.5,-7.9
Anne Arundel,Old Mill Middle North,English Language Arts 6,40.8,26.9,38.1,-13.9,11.2
Anne Arundel,Old Mill Middle North,English Language Arts 8,36.6,37.7,39.4,1.1,1.7
Anne Arundel,Old Mill Middle North,Algebra 1,30,33.3,72,3.3,38.7
Anne Arundel,Old Mill Middle North,Geometry,,*,*,,
Anne Arundel,Old Mill Middle North,Mathematics 8,5,5,5,,
Anne Arundel,Old Mill Middle South,Mathematics 6,16.7,17.6,22.7,0.9,5.1
Anne Arundel,Old Mill Middle South,Mathematics 7,21.8,21.6,23.5,-0.2,1.9
Anne Arundel,Old Mill Middle South,Algebra 1,30.3,44.3,39.6,14,-4.7
Anne Arundel,Old Mill Middle South,English Language Arts 8,48.5,53.5,43.1,5,-10.4
Anne Arundel,Old Mill Middle South,English Language Arts 7,54.5,48.4,46.8,-6.1,-1.6
Anne Arundel,Old Mill Middle South,English Language Arts 6,43.9,49.1,54,5.2,4.9
Anne Arundel,Old Mill Middle South,Geometry,,*,*,,
Anne Arundel,Old Mill Middle South,Mathematics 8,7.3,6.6,5,-0.7,
Harford,Old Post Road Elementary,Mathematics 5,,11.7,10.9,,-0.8
Harford,Old Post Road Elementary,Mathematics 4,,14.9,12.7,,-2.2
Harford,Old Post Road Elementary,Mathematics 3,,21.2,29.8,,8.6
Harford,Old Post Road Elementary,English Language Arts 5,,19.4,30.8,,11.4
Harford,Old Post Road Elementary,English Language Arts 4,,30.7,31.1,,0.4
Harford,Old Post Road Elementary,English Language Arts 3,,42.1,36.7,,-5.4
Baltimore County,Oliver Beach Elementary,Mathematics 4,25.7,75,38.5,49.3,-36.5
Baltimore County,Oliver Beach Elementary,Mathematics 3,29.4,41.7,50,12.3,8.3
Baltimore County,Oliver Beach Elementary,Mathematics 5,13.6,24.3,52.9,10.7,28.6
Baltimore County,Oliver Beach Elementary,English Language Arts 4,54.3,62.5,73.1,8.2,10.6
Baltimore County,Oliver Beach Elementary,English Language Arts 5,38.1,56.8,76.5,18.7,19.7
Baltimore County,Oliver Beach Elementary,English Language Arts 3,41.2,50,85,8.8,35
Montgomery,Olney Elementary,Mathematics 5,46.4,34.5,43,-11.9,8.5
Montgomery,Olney Elementary,Mathematics 4,37.4,55.4,53.2,18,-2.2
Montgomery,Olney Elementary,English Language Arts 4,52.2,73,54.8,20.8,-18.2
Montgomery,Olney Elementary,English Language Arts 5,55,48.2,67.3,-6.8,19.1
Montgomery,Olney Elementary,Mathematics 3,70.3,65.3,68.8,-5,3.5
Montgomery,Olney Elementary,English Language Arts 3,73,67.7,72.8,-5.3,5.1
Prince George's,Online Campus Academy,Algebra 2,,,5.6,,
Prince George's,Online Campus Academy,English Language Arts 7,,,45.5,,
Prince George's,Online Campus Academy,English Language Arts 8,,,45.5,,
Prince George's,Online Campus Academy,English Language Arts 10,,,58.3,,
Prince George's,Online Campus Academy,Mathematics 7,,,*,,
Prince George's,Online Campus Academy,Mathematics 8,,,5,,
Prince George's,Online Campus Academy,Algebra 1,,,5,,
Prince George's,Online Campus Academy,Geometry,,,5,,
Frederick,Orchard Grove Elementary,Mathematics 5,25.5,25.9,21.6,0.4,-4.3
Frederick,Orchard Grove Elementary,Mathematics 4,40.3,31.3,38.5,-9,7.2
Frederick,Orchard Grove Elementary,English Language Arts 5,38,54.1,45,16.1,-9.1
Frederick,Orchard Grove Elementary,English Language Arts 3,47.3,53.8,52.6,6.5,-1.2
Frederick,Orchard Grove Elementary,Mathematics 3,56,52.1,57.3,-3.9,5.2
Frederick,Orchard Grove Elementary,English Language Arts 4,54.5,48.9,57.9,-5.6,9
Baltimore County,Orems Elementary,Mathematics 4,18.2,15.7,18.5,-2.5,2.8
Baltimore County,Orems Elementary,Mathematics 5,19.4,13.8,21.8,-5.6,8
Baltimore County,Orems Elementary,English Language Arts 5,38.8,24.6,27.8,-14.2,3.2
Baltimore County,Orems Elementary,Mathematics 3,16.7,36.2,35.7,19.5,-0.5
Baltimore County,Orems Elementary,English Language Arts 4,34,29.4,42.3,-4.6,12.9
Baltimore County,Orems Elementary,English Language Arts 3,29.2,41.3,49.3,12.1,8
Baltimore County,Overlea High,English Language Arts 10,28.3,19.8,34.8,-8.5,15
Baltimore County,Overlea High,Algebra 1,5,5,5,,
Baltimore County,Overlea High,Geometry,5,5,5,,
Baltimore County,Overlea High,Algebra 2,,5,5,,
Prince George's,Overlook Elementary,Mathematics 5,5,5.1,10,,4.9
Prince George's,Overlook Elementary,Mathematics 4,5,10.7,12.2,,1.5
Anne Arundel,Overlook Elementary,Mathematics 3,40.3,25.5,19.6,-14.8,-5.9
Prince George's,Overlook Elementary,English Language Arts 5,23.3,25.6,20,2.3,-5.6
Anne Arundel,Overlook Elementary,Mathematics 5,12.2,6.6,21.1,-5.6,14.5
Prince George's,Overlook Elementary,Mathematics 3,9.8,9.4,22.5,-0.4,13.1
Anne Arundel,Overlook Elementary,Mathematics 4,14.6,34.7,24,20.1,-10.7
Prince George's,Overlook Elementary,English Language Arts 3,29.5,32.1,25,2.6,-7.1
Anne Arundel,Overlook Elementary,English Language Arts 3,46.8,34,28.6,-12.8,-5.4
Prince George's,Overlook Elementary,English Language Arts 4,17.5,35.7,30.6,18.2,-5.1
Anne Arundel,Overlook Elementary,English Language Arts 5,20.4,25,36.8,4.6,11.8
Anne Arundel,Overlook Elementary,English Language Arts 4,51.1,55.1,40,4,-15.1
Baltimore County,Owings Mills Elementary,Mathematics 5,9.6,20.4,10.3,10.8,-10.1
Baltimore County,Owings Mills Elementary,Mathematics 4,18.1,22,23.1,3.9,1.1
Baltimore County,Owings Mills Elementary,Mathematics 3,13.7,22.8,27.8,9.1,5
Baltimore County,Owings Mills Elementary,English Language Arts 5,41.1,50.9,39.7,9.8,-11.2
Baltimore County,Owings Mills Elementary,English Language Arts 3,38.3,37.2,41.1,-1.1,3.9
Baltimore County,Owings Mills Elementary,English Language Arts 4,48.2,42.7,51.3,-5.5,8.6
Baltimore County,Owings Mills High,English Language Arts 10,12.9,25.7,21.1,12.8,-4.6
Baltimore County,Owings Mills High,Algebra 2,,*,5,,
Baltimore County,Owings Mills High,Algebra 1,5,5,5,,
Baltimore County,Owings Mills High,Geometry,5,5,5,,
Prince George's,Oxon Hill Elementary,Mathematics 4,10.5,5.4,9.7,-5.1,4.3
Prince George's,Oxon Hill Elementary,Mathematics 3,5.9,6.9,18.8,1,11.9
Prince George's,Oxon Hill Elementary,English Language Arts 5,29,19.6,21.9,-9.4,2.3
Prince George's,Oxon Hill Elementary,English Language Arts 4,28.9,21.6,34.5,-7.3,12.9
Prince George's,Oxon Hill Elementary,English Language Arts 3,23.5,39.3,35.5,15.8,-3.8
Prince George's,Oxon Hill Elementary,Mathematics 5,9.4,15.2,5,5.8,
Prince George's,Oxon Hill High,Algebra 1,5,5,6.7,,
Prince George's,Oxon Hill High,English Language Arts 10,62.6,67.3,53.8,4.7,-13.5
Prince George's,Oxon Hill High,Geometry,,*,,,
Prince George's,Oxon Hill High,Algebra 2,*,,,,
Prince George's,Oxon Hill Middle,Algebra 1,9.7,10.7,13.6,1,2.9
Prince George's,Oxon Hill Middle,English Language Arts 8,26.6,30.9,24.6,4.3,-6.3
Prince George's,Oxon Hill Middle,English Language Arts 6,18.1,41.4,26.1,23.3,-15.3
Prince George's,Oxon Hill Middle,English Language Arts 7,32.1,29.5,32.1,-2.6,2.6
Prince George's,Oxon Hill Middle,Mathematics 8,5,5.8,5,,
Prince George's,Oxon Hill Middle,Mathematics 7,5,5.9,5,,
Prince George's,Oxon Hill Middle,Mathematics 6,5,5,5,,
Baltimore County,Padonia International Elementary,Mathematics 3,23.2,18.7,12.1,-4.5,-6.6
Baltimore County,Padonia International Elementary,English Language Arts 3,27.8,34.7,14.3,6.9,-20.4
Baltimore County,Padonia International Elementary,Mathematics 4,21.7,26.8,14.5,5.1,-12.3
Baltimore County,Padonia International Elementary,Mathematics 5,9.6,16.9,16.3,7.3,-0.6
Baltimore County,Padonia International Elementary,English Language Arts 5,16.9,34.8,32.9,17.9,-1.9
Baltimore County,Padonia International Elementary,English Language Arts 4,28.8,33.8,36,5,2.2
Prince George's,Paint Branch Elementary,Mathematics 5,15.2,10.3,9.2,-4.9,-1.1
Prince George's,Paint Branch Elementary,Mathematics 4,17.1,9.8,11.8,-7.3,2
Prince George's,Paint Branch Elementary,English Language Arts 5,35.9,20.5,21.9,-15.4,1.4
Prince George's,Paint Branch Elementary,English Language Arts 3,12.2,37.9,22,25.7,-15.9
Prince George's,Paint Branch Elementary,Mathematics 3,18.4,37.3,24.2,18.9,-13.1
Prince George's,Paint Branch Elementary,English Language Arts 4,37.5,20.5,28.8,-17,8.3
Prince George's,Paint Branch Elementary,Mathematics 6,11.1,11.1,,,
Prince George's,Paint Branch Elementary,English Language Arts 6,47.6,46.3,,,
Montgomery,Paint Branch High,English Language Arts 10,51.5,51,47,-0.5,-4
Montgomery,Paint Branch High,Algebra 1,5,5,5,,
Montgomery,Paint Branch High,Geometry,,*,,,
Washington,Pangborn Elementary,Mathematics 5,6.5,15.3,17.5,8.8,2.2
Washington,Pangborn Elementary,Mathematics 4,12.2,18.3,21.1,6.1,2.8
Washington,Pangborn Elementary,Mathematics 3,19.2,21.7,28,2.5,6.3
Washington,Pangborn Elementary,English Language Arts 4,31.7,36.9,32.1,5.2,-4.8
Washington,Pangborn Elementary,English Language Arts 5,14,29.4,33.7,15.4,4.3
Washington,Pangborn Elementary,English Language Arts 3,29.3,30.8,36.1,1.5,5.3
Prince George's,Panorama Elementary,Mathematics 5,5,5.1,11.5,,6.4
Prince George's,Panorama Elementary,Mathematics 4,5,12,12,,0
Prince George's,Panorama Elementary,Mathematics 3,19.2,6.6,18.7,-12.6,12.1
Prince George's,Panorama Elementary,English Language Arts 3,24.7,19.7,29.3,-5,9.6
Prince George's,Panorama Elementary,English Language Arts 5,21.3,24.4,29.9,3.1,5.5
Prince George's,Panorama Elementary,English Language Arts 4,41.9,35.1,34.7,-6.8,-0.4
Washington,Paramount Elementary,Mathematics 5,30.1,36.4,38.9,6.3,2.5
Washington,Paramount Elementary,Mathematics 4,34.5,39.4,45.3,4.9,5.9
Washington,Paramount Elementary,Mathematics 3,53,46.2,52.5,-6.8,6.3
